remote_host,time_received_isoformat,request_method,request_url_path,request_url_query,status,request_header_user_agent
5,2015-07-08T00:00:49,GET,/ism/slavery/graphics/slave_ship_dance.jpg,,200,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
5,2015-07-08T00:00:49,GET,/SiteElements/non-cms/fonts/nmllogosicons-regular-webfont.woff,,200,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
5,2015-07-08T00:00:49,GET,/images/site-wide/venues/logos/ism.png,,200,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
5,2015-07-08T00:00:51,GET,/favicon.ico,,200,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
8,2015-07-08T00:00:51,HEAD,/aspnet_client/Contensis/Icons/large/0.gif,,200,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; SV1; .NET CLR 1.1.4322)
2,2015-07-08T00:00:51,GET,/wml/index.aspx,,200,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko
8,2015-07-08T00:00:51,HEAD,/wilcardtest.tester,,200,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; SV1; .NET CLR 1.1.4322)
8,2015-07-08T00:00:51,GET,/REST/UI/FormsModule/TestAccessibility,,200,-
9,2015-07-08T00:00:53,GET,/ism/slavery/slave-stories/oyeladun/oyeladun1.aspx,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ism/slavery/slave-stories/100-slave-stories-styles.css,version=20837,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ScriptResource.axd,d=lYDpHQnk7-Wys4tUsujgSpbty-5TD1QEuNgobiPTun8nNH361SYDZIvO6pXS00rC2UH_Ve7zaIfzC3HGzqGyPNeAGiBzYcJiakTO_2jAAz0ntUdtXbNaTGrNgXkM5o01zoRLWZV0IKIh4MCBkMM9P64IGHjPIvqnrkBzjJpnPDcjnQw1kCV9vKS9iMUsdoGr0&t=42a7acab,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/WebResource.axd,d=e15kh0gOdCR1269JAQaLvBi-8win4KLksUplJoRnVCv-uvzt8pyzUXOvpAoYH75Ysur2yJUAlk_tJKxtjDEKq3LrWcBxc7LBTSVyjT9J8401&t=635328605200000000,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ism/slavery/slave-stories/js/external.js,version=20700&build=821653,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ism/slavery/slave-stories/js/popup-event.js,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ism/slavery/slave-stories/images/content-new/large/dance_mask_large.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ScriptResource.axd,d=Lg_WJ9l8Z0PJSWw6VVc7s_i7Tnn9aWb95TyIiw-6w95iSqBKYnSuGQWyhU4ERhpbrux9-t9GQq0Qame4uw5ER2lNBCTAYclOdaVVrlaOUajvvK48PgNBlo9rs8eVnUEhyL7cNDX0L5M0wjMtdSRIdShfJuRZ0nSJK4k9ka7ZhzM8WviskJb0oMgL1LZ3nuSk0&t=42a7acab,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ism/slavery/slave-stories/js/overlaymin.js,version=20702&build=821653,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ism/slavery/slave-stories/images/enslaved-africans-slave-logo.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ism/slavery/slave-stories/js/jquerytoolsmin.js,version=20701&build=821653,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:53,GET,/ism/slavery/slave-stories/images/content-new/dance_mask.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:54,GET,/ism/slavery/slave-stories/images/handcuffs.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:54,GET,/ism/slavery/slave-stories/images/left-curl.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:54,GET,/ism/slavery/slave-stories/images/nav/okechukwu.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:54,GET,/ism/slavery/slave-stories/images/nav/kwame.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
